Sr. No.,Thickness,Pattern,Stress,Strain
1,0.12,Cubic,0.279166667,0
2,0.12,Cubic,0.420833333,0.0008
3,0.12,Cubic,0.525,0.0012
4,0.12,Cubic,0.766666667,0.0016
5,0.12,Cubic,0.9125,0.002
6,0.12,Cubic,1.216666667,0.0024
7,0.12,Cubic,1.408333333,0.0028
8,0.12,Cubic,1.591666667,0.0032
9,0.12,Cubic,1.779166667,0.0036
10,0.12,Cubic,1.966666667,0.004
11,0.12,Cubic,2.333333333,0.0044
12,0.12,Cubic,2.7,0.0052
13,0.12,Cubic,2.883333333,0.0056
14,0.12,Cubic,3.25,0.006
15,0.12,Cubic,3.4375,0.0064
16,0.12,Cubic,3.616666667,0.0068
17,0.12,Cubic,3.791666667,0.0072
18,0.12,Cubic,4.15,0.0076
19,0.12,Cubic,4.504166667,0.0084
20,0.12,Cubic,4.679166667,0.0088
21,0.12,Cubic,4.85,0.0092
22,0.12,Cubic,5.020833333,0.0096
23,0.12,Cubic,5.1875,0.01
24,0.12,Cubic,5.495833333,0.0104
25,0.12,Cubic,5.604166667,0.0108
26,0.12,Cubic,5.683333333,0.0112
27,0.12,Cubic,5.8,0.0116
28,0.12,Cubic,5.8625,0.0124
29,0.12,Cubic,5.991666667,0.0128
30,0.12,Cubic,6.058333333,0.0132
31,0.12,Cubic,6.225,0.0136
32,0.12,Cubic,6.354166667,0.014
33,0.12,Cubic,6.508333333,0.0144
34,0.12,Cubic,6.679166667,0.0148
35,0.12,Cubic,7.029166667,0.0152
36,0.12,Cubic,7.2,0.0156
37,0.12,Cubic,7.375,0.016
38,0.12,Cubic,7.545833333,0.0164
39,0.12,Cubic,7.891666667,0.0168
40,0.12,Cubic,8.066666667,0.0172
41,0.12,Cubic,8.233333333,0.0176
42,0.12,Cubic,8.4,0.018
43,0.12,Cubic,8.733333333,0.0184
44,0.12,Cubic,8.904166667,0.0188
45,0.12,Cubic,9.241666667,0.0192
46,0.12,Cubic,9.570833333,0.02
47,0.12,Cubic,9.720833333,0.0204
48,0.12,Cubic,9.891666667,0.0208
49,0.12,Cubic,10.05416667,0.0212
50,0.12,Cubic,10.22916667,0.0216
51,0.12,Cubic,10.54583333,0.022
52,0.12,Cubic,10.70416667,0.0224
53,0.12,Cubic,10.85416667,0.0228
54,0.12,Cubic,11.175,0.0232
55,0.12,Cubic,11.35416667,0.024
56,0.12,Cubic,11.68333333,0.0244
57,0.12,Cubic,11.84166667,0.0248
58,0.12,Cubic,12.00833333,0.0252
59,0.12,Cubic,12.18333333,0.0256
60,0.12,Cubic,12.35416667,0.026
61,0.12,Cubic,12.525,0.0264
62,0.12,Cubic,12.85833333,0.0268
63,0.12,Cubic,13.02083333,0.0272
64,0.12,Cubic,13.17916667,0.0276
65,0.12,Cubic,13.3375,0.028
66,0.12,Cubic,13.49583333,0.0284
67,0.12,Cubic,13.8,0.0288
68,0.12,Cubic,13.94583333,0.0292
69,0.12,Cubic,14.0875,0.0296
70,0.12,Cubic,14.36666667,0.03
71,0.12,Cubic,14.5,0.0304
72,0.12,Cubic,14.75833333,0.0308
73,0.12,Cubic,14.87916667,0.0312
74,0.12,Cubic,15.00833333,0.0316
75,0.12,Cubic,15.14166667,0.032
76,0.12,Cubic,15.27083333,0.0324
77,0.12,Cubic,15.52916667,0.0328
78,0.12,Cubic,15.65833333,0.0332
79,0.12,Cubic,15.8,0.0336
80,0.12,Cubic,15.93333333,0.034
81,0.12,Cubic,16.2125,0.0344
82,0.12,Cubic,16.35,0.0348
83,0.12,Cubic,16.4875,0.0352
84,0.12,Cubic,16.625,0.0356
85,0.12,Cubic,16.7625,0.036
86,0.12,Cubic,17.04583333,0.0364
87,0.12,Cubic,17.17916667,0.0368
88,0.12,Cubic,17.3125,0.0372
89,0.12,Cubic,17.44166667,0.0376
90,0.12,Cubic,17.5625,0.038
91,0.12,Cubic,17.6875,0.0384
92,0.12,Cubic,17.92916667,0.0388
93,0.12,Cubic,18.04166667,0.0392
94,0.12,Cubic,18.27083333,0.0396
95,0.12,Cubic,18.37083333,0.04
96,0.12,Cubic,18.59166667,0.0404
97,0.12,Cubic,18.70416667,0.0408
98,0.12,Cubic,18.81666667,0.0412
99,0.12,Cubic,18.93333333,0.0416
100,0.12,Cubic,19.05416667,0.0424
101,0.12,Cubic,19.17916667,0.0428
102,0.12,Cubic,19.3125,0.0432
103,0.12,Cubic,19.6,0.0436
104,0.12,Cubic,19.75,0.044
105,0.12,Cubic,19.8875,0.0444
106,0.12,Cubic,20.14166667,0.0448
107,0.12,Cubic,20.27083333,0.0452
108,0.12,Cubic,20.39166667,0.0456
109,0.12,Cubic,20.50833333,0.046
110,0.12,Cubic,20.70833333,0.0464
111,0.12,Cubic,20.7875,0.0468
112,0.12,Cubic,20.97916667,0.0472
113,0.12,Cubic,21.175,0.0476
114,0.12,Cubic,21.25833333,0.048
115,0.12,Cubic,21.34583333,0.0484
116,0.12,Cubic,21.52916667,0.0488
117,0.12,Cubic,21.73333333,0.0496
118,0.12,Cubic,21.8375,0.05
119,0.12,Cubic,21.93333333,0.0504
120,0.12,Cubic,22.02916667,0.0508
121,0.12,Cubic,22.12916667,0.0512
122,0.12,Cubic,22.35,0.0516
123,0.12,Cubic,22.4625,0.052
124,0.12,Cubic,22.65,0.0524
125,0.12,Cubic,22.74166667,0.0528
126,0.12,Cubic,22.82916667,0.0532
127,0.12,Cubic,22.925,0.0536
128,0.12,Cubic,23.09583333,0.054
129,0.12,Cubic,23.17083333,0.0544
130,0.12,Cubic,23.25416667,0.0548
131,0.12,Cubic,23.33333333,0.0552
132,0.12,Cubic,23.41666667,0.0556
133,0.12,Cubic,23.56666667,0.056
134,0.12,Cubic,23.6375,0.0564
135,0.12,Cubic,23.70416667,0.0568
136,0.12,Cubic,23.77083333,0.0572
137,0.12,Cubic,23.82916667,0.0576
138,0.12,Cubic,23.89166667,0.058
139,0.12,Cubic,23.9375,0.0584
140,0.12,Cubic,24.02083333,0.0588
141,0.12,Cubic,24.075,0.0596
142,0.12,Cubic,24.09166667,0.06
143,0.12,Cubic,24.1,0.0604
144,0.12,Cubic,24.1,0.0608
145,0.12,Cubic,24.05416667,0.0616
146,0.12,Cubic,24.00833333,0.062
147,0.12,Cubic,23.96666667,0.0624
148,0.12,Cubic,23.8625,0.0628
149,0.12,Cubic,23.8,0.0632
150,0.12,Cubic,23.725,0.0636
151,0.12,Cubic,23.57083333,0.064
152,0.12,Cubic,23.50416667,0.0644
153,0.12,Cubic,23.4375,0.0648
154,0.12,Cubic,23.3125,0.0652
155,0.12,Cubic,23.25,0.0656
156,0.12,Cubic,23.1125,0.0664
157,0.12,Cubic,23.05833333,0.0668
158,0.12,Cubic,22.97083333,0.0672
159,0.12,Cubic,22.9125,0.0676
160,0.12,Cubic,22.85833333,0.068
161,0.12,Cubic,22.74166667,0.0684
162,0.12,Cubic,22.6875,0.0688
163,0.12,Cubic,22.5875,0.0692
164,0.12,Cubic,22.54166667,0.0696
165,0.12,Cubic,22.49166667,0.07
166,0.12,Cubic,22.45,0.0704
167,0.12,Cubic,22.40833333,0.0708
168,0.12,Cubic,22.3375,0.0712
169,0.12,Cubic,22.29583333,0.072
170,0.12,Cubic,22.27916667,0.0724
171,0.12,Cubic,22.24583333,0.0728
172,0.12,Cubic,22.19166667,0.0732
173,0.12,Cubic,22.15833333,0.0736
174,0.12,Cubic,22.09166667,0.074
175,0.12,Cubic,22.06666667,0.0744
176,0.12,Cubic,22.0375,0.0748
177,0.12,Cubic,22.00833333,0.0752
178,0.12,Cubic,21.9875,0.0756
179,0.12,Cubic,21.97083333,0.076
180,0.12,Cubic,21.94166667,0.0764
181,0.12,Cubic,21.92916667,0.0768
182,0.12,Cubic,21.925,0.0772
183,0.12,Cubic,21.90416667,0.0776
184,0.12,Cubic,21.89166667,0.078
185,0.12,Cubic,21.875,0.0784
186,0.12,Cubic,21.8375,0.0788
187,0.12,Cubic,21.77916667,0.0796
188,0.12,Cubic,21.75416667,0.08
189,0.12,Cubic,21.725,0.0804
190,0.12,Cubic,21.6625,0.0808
191,0.12,Cubic,21.59583333,0.0812
192,0.12,Cubic,21.575,0.0816
193,0.12,Cubic,21.525,0.082
194,0.12,Cubic,21.5,0.0828
195,0.12,Cubic,21.48333333,0.0832
196,0.12,Cubic,21.47083333,0.0836
197,0.12,Cubic,21.46666667,0.084
198,0.12,Cubic,21.46666667,0.0844
199,0.12,Cubic,21.43333333,0.0848
200,0.12,Cubic,21.425,0.0852
201,0.12,Cubic,21.42083333,0.0856
202,0.12,Cubic,21.37916667,0.086
203,0.12,Cubic,21.3625,0.0864
204,0.12,Cubic,21.34583333,0.0868
205,0.12,Cubic,21.3125,0.0872
206,0.12,Cubic,21.28333333,0.0876
207,0.12,Cubic,21.27083333,0.088
208,0.12,Cubic,21.25416667,0.0884
209,0.12,Cubic,21.2375,0.0888
210,0.12,Cubic,21.225,0.0892
211,0.12,Cubic,21.20416667,0.0896
212,0.12,Cubic,21.16666667,0.09
213,0.12,Cubic,21.15416667,0.0904
214,0.12,Cubic,21.13333333,0.0908
215,0.12,Cubic,21.1,0.0912
216,0.12,Cubic,21.07083333,0.0916
217,0.12,Cubic,20.99583333,0.092
218,0.12,Cubic,20.95833333,0.0924
219,0.12,Cubic,20.925,0.0928
220,0.12,Cubic,20.89166667,0.0932
221,0.12,Cubic,20.82083333,0.0936
222,0.12,Cubic,20.78333333,0.094
223,0.12,Cubic,20.75416667,0.0944
224,0.12,Cubic,20.725,0.0948
225,0.12,Cubic,20.6875,0.0952
226,0.12,Cubic,20.60833333,0.0956
227,0.12,Cubic,20.57083333,0.096
228,0.12,Cubic,20.525,0.0964
229,0.12,Cubic,20.475,0.0968
230,0.12,Cubic,20.37083333,0.0972
231,0.12,Cubic,20.30833333,0.0976
232,0.12,Cubic,20.2375,0.098
233,0.12,Cubic,20.175,0.0984
234,0.12,Cubic,20.0125,0.0988
235,0.12,Cubic,19.79166667,0.0996
236,0.12,Cubic,19.65416667,0.1
237,0.12,Cubic,19.475,0.1004
238,0.12,Cubic,0.245833333,0
239,0.12,Cubic,0.3,0.0004
240,0.12,Cubic,0.366666667,0.0008
241,0.12,Cubic,0.55,0.0012
242,0.12,Cubic,0.654166667,0.0016
243,0.12,Cubic,0.779166667,0.002
244,0.12,Cubic,1.066666667,0.0024
245,0.12,Cubic,1.229166667,0.0028
246,0.12,Cubic,1.408333333,0.0032
247,0.12,Cubic,1.6,0.0036
248,0.12,Cubic,1.779166667,0.004
249,0.12,Cubic,2.141666667,0.0044
250,0.12,Cubic,2.329166667,0.0048
251,0.12,Cubic,2.704166667,0.0052
252,0.12,Cubic,3.079166667,0.006
253,0.12,Cubic,3.4375,0.0064
254,0.12,Cubic,3.616666667,0.0068
255,0.12,Cubic,3.795833333,0.0072
256,0.12,Cubic,3.975,0.0076
257,0.12,Cubic,4.3125,0.008
258,0.12,Cubic,4.4875,0.0084
259,0.12,Cubic,4.65,0.0088
260,0.12,Cubic,4.9875,0.0092
261,0.12,Cubic,5.1375,0.0096
262,0.12,Cubic,5.2125,0.01
263,0.12,Cubic,5.295833333,0.0104
264,0.12,Cubic,5.45,0.0108
265,0.12,Cubic,5.533333333,0.0112
266,0.12,Cubic,5.6125,0.0116
267,0.12,Cubic,5.758333333,0.012
268,0.12,Cubic,5.925,0.0128
269,0.12,Cubic,6.079166667,0.0132
270,0.12,Cubic,6.4,0.0136
271,0.12,Cubic,6.5625,0.014
272,0.12,Cubic,6.720833333,0.0144
273,0.12,Cubic,7.05,0.0148
274,0.12,Cubic,7.216666667,0.0152
275,0.12,Cubic,7.3875,0.0156
276,0.12,Cubic,7.725,0.016
277,0.12,Cubic,8.066666667,0.0168
278,0.12,Cubic,8.25,0.0172
279,0.12,Cubic,8.5875,0.0176
280,0.12,Cubic,8.7625,0.0184
281,0.12,Cubic,9.120833333,0.0188
282,0.12,Cubic,9.470833333,0.0192
283,0.12,Cubic,9.645833333,0.0196
284,0.12,Cubic,9.820833333,0.02
285,0.12,Cubic,9.9875,0.0204
286,0.12,Cubic,10.175,0.0208
287,0.12,Cubic,10.51666667,0.0212
288,0.12,Cubic,10.6875,0.0216
289,0.12,Cubic,10.8625,0.022
290,0.12,Cubic,11.04166667,0.0224
291,0.12,Cubic,11.37916667,0.0228
292,0.12,Cubic,11.71666667,0.0232
293,0.12,Cubic,11.87916667,0.0236
294,0.12,Cubic,12.04583333,0.024
295,0.12,Cubic,12.35833333,0.0244
296,0.12,Cubic,12.5125,0.0248
297,0.12,Cubic,12.6625,0.0252
298,0.12,Cubic,12.83333333,0.0256
299,0.12,Cubic,12.9875,0.026
300,0.12,Cubic,13.15416667,0.0264
301,0.12,Cubic,13.325,0.0268
302,0.12,Cubic,13.67083333,0.0272
303,0.12,Cubic,13.85416667,0.0276
304,0.12,Cubic,14.04166667,0.028
305,0.12,Cubic,14.22083333,0.0284
306,0.12,Cubic,14.4125,0.0288
307,0.12,Cubic,14.59583333,0.0292
308,0.12,Cubic,14.95416667,0.0296
309,0.12,Cubic,15.12916667,0.03
310,0.12,Cubic,15.30833333,0.0304
311,0.12,Cubic,15.47916667,0.0308
312,0.12,Cubic,15.64583333,0.0312
313,0.12,Cubic,15.97916667,0.0316
314,0.12,Cubic,16.14583333,0.032
315,0.12,Cubic,16.475,0.0324
316,0.12,Cubic,16.63333333,0.0328
317,0.12,Cubic,16.79583333,0.0332
318,0.12,Cubic,16.95,0.0336
319,0.12,Cubic,17.10833333,0.034
320,0.12,Cubic,17.2625,0.0344
321,0.12,Cubic,17.5875,0.0348
322,0.12,Cubic,17.75,0.0352
323,0.12,Cubic,18.07083333,0.036
324,0.12,Cubic,18.225,0.0364
325,0.12,Cubic,18.53333333,0.0368
326,0.12,Cubic,18.69166667,0.0372
327,0.12,Cubic,18.975,0.0376
328,0.12,Cubic,19.1125,0.038
329,0.12,Cubic,19.23333333,0.0384
330,0.12,Cubic,19.35833333,0.0388
331,0.12,Cubic,19.4875,0.0392
332,0.12,Cubic,19.7625,0.0396
333,0.12,Cubic,19.90416667,0.04
334,0.12,Cubic,20.03333333,0.0404
335,0.12,Cubic,20.18333333,0.0408
336,0.12,Cubic,20.32916667,0.0412
337,0.12,Cubic,20.49166667,0.0416
338,0.12,Cubic,20.79583333,0.042
339,0.12,Cubic,21.07916667,0.0428
340,0.12,Cubic,21.22083333,0.0432
341,0.12,Cubic,21.35833333,0.0436
342,0.12,Cubic,21.48333333,0.044
343,0.12,Cubic,21.73333333,0.0444
344,0.12,Cubic,21.85416667,0.0448
345,0.12,Cubic,22.0875,0.0452
346,0.12,Cubic,22.20833333,0.0456
347,0.12,Cubic,22.42916667,0.046
348,0.12,Cubic,22.53333333,0.0464
349,0.12,Cubic,22.64583333,0.0468
350,0.12,Cubic,22.75833333,0.0472
351,0.12,Cubic,22.85833333,0.0476
352,0.12,Cubic,23.075,0.048
353,0.12,Cubic,23.175,0.0484
354,0.12,Cubic,23.275,0.0488
355,0.12,Cubic,23.38333333,0.0492
356,0.12,Cubic,23.48333333,0.0496
357,0.12,Cubic,23.5875,0.05
358,0.12,Cubic,23.79166667,0.0504
359,0.12,Cubic,23.9875,0.0512
360,0.12,Cubic,24.0875,0.0516
361,0.12,Cubic,24.175,0.052
362,0.12,Cubic,24.26666667,0.0524
363,0.12,Cubic,24.42916667,0.0528
364,0.12,Cubic,24.49583333,0.0532
365,0.12,Cubic,24.55833333,0.0536
366,0.12,Cubic,24.60833333,0.054
367,0.12,Cubic,24.65,0.0544
368,0.12,Cubic,24.70833333,0.0548
369,0.12,Cubic,24.73333333,0.0552
370,0.12,Cubic,24.74583333,0.0556
371,0.12,Cubic,24.7375,0.056
372,0.12,Cubic,24.71666667,0.0564
373,0.12,Cubic,24.68333333,0.0572
374,0.12,Cubic,24.6625,0.0576
375,0.12,Cubic,24.62916667,0.058
376,0.12,Cubic,24.54166667,0.0584
377,0.12,Cubic,24.50833333,0.0588
378,0.12,Cubic,24.47083333,0.0592
379,0.12,Cubic,24.425,0.0596
380,0.12,Cubic,24.37916667,0.06
381,0.12,Cubic,24.325,0.0604
382,0.12,Cubic,24.26666667,0.0608
383,0.12,Cubic,24.2,0.0612
384,0.12,Cubic,24.1,0.0616
385,0.12,Cubic,24.05416667,0.062
386,0.12,Cubic,23.99583333,0.0624
387,0.12,Cubic,23.9375,0.0628
388,0.12,Cubic,23.88333333,0.0632
389,0.12,Cubic,23.8125,0.0636
390,0.12,Cubic,23.6875,0.064
391,0.12,Cubic,23.62916667,0.0644
392,0.12,Cubic,23.50416667,0.0648
393,0.12,Cubic,23.43333333,0.0652
394,0.12,Cubic,23.35833333,0.0656
395,0.12,Cubic,23.2875,0.066
396,0.12,Cubic,23.225,0.0664
397,0.12,Cubic,23.1125,0.0668
398,0.12,Cubic,23.05416667,0.0672
399,0.12,Cubic,22.99166667,0.0676
400,0.12,Cubic,22.94583333,0.068
401,0.12,Cubic,22.85416667,0.0684
402,0.12,Cubic,22.82083333,0.0688
403,0.12,Cubic,22.77916667,0.0692
404,0.12,Cubic,22.69166667,0.0696
405,0.12,Cubic,22.64583333,0.07
406,0.12,Cubic,22.60833333,0.0704
407,0.12,Cubic,22.52083333,0.0708
408,0.12,Cubic,22.475,0.0712
409,0.12,Cubic,22.375,0.0716
410,0.12,Cubic,22.32916667,0.0724
411,0.12,Cubic,22.24583333,0.0728
412,0.12,Cubic,22.14583333,0.0732
413,0.12,Cubic,22.1,0.0736
414,0.12,Cubic,22.05833333,0.074
415,0.12,Cubic,21.9625,0.0744
416,0.12,Cubic,21.91666667,0.0748
417,0.12,Cubic,21.8625,0.0752
418,0.12,Cubic,21.79166667,0.0756
419,0.12,Cubic,21.7375,0.076
420,0.12,Cubic,21.5875,0.0764
421,0.12,Cubic,21.36666667,0.0768
422,0.12,Cubic,21.225,0.0772
423,0.12,Cubic,20.92083333,0.0776
424,0.12,Cubic,20.72916667,0.078
425,0.12,Cubic,20.5125,0.0784
426,0.12,Cubic,20.2125,0.0788
427,0.12,Cubic,0.245833333,0
428,0.12,Cubic,0.370833333,0.0004
429,0.12,Cubic,0.45,0.0008
430,0.12,Cubic,0.5375,0.0012
431,0.12,Cubic,0.641666667,0.0016
432,0.12,Cubic,0.770833333,0.002
433,0.12,Cubic,1.066666667,0.0024
434,0.12,Cubic,1.233333333,0.0028
435,0.12,Cubic,1.404166667,0.0032
436,0.12,Cubic,1.7625,0.0036
437,0.12,Cubic,1.945833333,0.004
438,0.12,Cubic,2.133333333,0.0044
439,0.12,Cubic,2.3125,0.0048
440,0.12,Cubic,2.495833333,0.0052
441,0.12,Cubic,2.670833333,0.0056
442,0.12,Cubic,3.029166667,0.006
443,0.12,Cubic,3.216666667,0.0064
444,0.12,Cubic,3.391666667,0.0068
445,0.12,Cubic,3.570833333,0.0072
446,0.12,Cubic,3.929166667,0.0076
447,0.12,Cubic,4.104166667,0.008
448,0.12,Cubic,4.266666667,0.0084
449,0.12,Cubic,4.445833333,0.0088
450,0.12,Cubic,4.6125,0.0092
451,0.12,Cubic,4.779166667,0.0096
452,0.12,Cubic,5.108333333,0.01
453,0.12,Cubic,5.270833333,0.0104
454,0.12,Cubic,5.429166667,0.0108
455,0.12,Cubic,5.575,0.0112
456,0.12,Cubic,5.716666667,0.0116
457,0.12,Cubic,5.9,0.012
458,0.12,Cubic,5.970833333,0.0124
459,0.12,Cubic,6.033333333,0.0128
460,0.12,Cubic,6.1625,0.0132
461,0.12,Cubic,6.2375,0.0136
462,0.12,Cubic,6.308333333,0.014
463,0.12,Cubic,6.3875,0.0144
464,0.12,Cubic,6.479166667,0.0148
465,0.12,Cubic,6.766666667,0.0152
466,0.12,Cubic,6.933333333,0.0156
467,0.12,Cubic,7.104166667,0.016
468,0.12,Cubic,7.266666667,0.0164
469,0.12,Cubic,7.604166667,0.0168
470,0.12,Cubic,7.770833333,0.0172
471,0.12,Cubic,7.9375,0.0176
472,0.12,Cubic,8.1,0.018
473,0.12,Cubic,8.270833333,0.0184
474,0.12,Cubic,8.591666667,0.0188
475,0.12,Cubic,8.758333333,0.0192
476,0.12,Cubic,8.925,0.0196
477,0.12,Cubic,9.083333333,0.02
478,0.12,Cubic,9.2375,0.0204
479,0.12,Cubic,9.570833333,0.0208
480,0.12,Cubic,9.733333333,0.0212
481,0.12,Cubic,9.9,0.0216
482,0.12,Cubic,10.05833333,0.022
483,0.12,Cubic,10.37083333,0.0224
484,0.12,Cubic,10.52916667,0.0228
485,0.12,Cubic,10.7,0.0232
486,0.12,Cubic,10.8625,0.0236
487,0.12,Cubic,11.01666667,0.024
488,0.12,Cubic,11.3375,0.0244
489,0.12,Cubic,11.4875,0.0248
490,0.12,Cubic,11.82083333,0.0256
491,0.12,Cubic,11.975,0.026
492,0.12,Cubic,12.28333333,0.0264
493,0.12,Cubic,12.42916667,0.0268
494,0.12,Cubic,12.56666667,0.0272
495,0.12,Cubic,12.70416667,0.0276
496,0.12,Cubic,12.96666667,0.028
497,0.12,Cubic,13.09166667,0.0284
498,0.12,Cubic,13.325,0.0288
499,0.12,Cubic,13.44166667,0.0292
500,0.12,Cubic,13.68333333,0.0296
501,0.12,Cubic,13.8,0.03
502,0.12,Cubic,13.9125,0.0304
503,0.12,Cubic,14.02916667,0.0308
504,0.12,Cubic,14.15,0.0312
505,0.12,Cubic,14.275,0.0316
506,0.12,Cubic,14.40833333,0.032
507,0.12,Cubic,14.54166667,0.0324
508,0.12,Cubic,14.67916667,0.0328
509,0.12,Cubic,14.81666667,0.0332
510,0.12,Cubic,15.09166667,0.0336
511,0.12,Cubic,15.22916667,0.034
512,0.12,Cubic,15.35833333,0.0344
513,0.12,Cubic,15.49166667,0.0348
514,0.12,Cubic,15.60833333,0.0352
515,0.12,Cubic,15.83333333,0.0356
516,0.12,Cubic,15.95,0.036
517,0.12,Cubic,16.0625,0.0364
518,0.12,Cubic,16.29166667,0.0368
519,0.12,Cubic,16.40833333,0.0372
520,0.12,Cubic,16.53333333,0.0376
521,0.12,Cubic,16.6625,0.038
522,0.12,Cubic,16.7875,0.0384
523,0.12,Cubic,16.93333333,0.0388
524,0.12,Cubic,17.07083333,0.0392
525,0.12,Cubic,17.34166667,0.0396
526,0.12,Cubic,17.62083333,0.0404
527,0.12,Cubic,17.75416667,0.0408
528,0.12,Cubic,18.025,0.0412
529,0.12,Cubic,18.1625,0.0416
530,0.12,Cubic,18.3,0.042
531,0.12,Cubic,18.55833333,0.0424
532,0.12,Cubic,18.68333333,0.0428
533,0.12,Cubic,18.8,0.0432
534,0.12,Cubic,19.04166667,0.0436
535,0.12,Cubic,19.1625,0.044
536,0.12,Cubic,19.2875,0.0444
537,0.12,Cubic,19.53333333,0.0448
538,0.12,Cubic,19.64583333,0.0452
539,0.12,Cubic,19.7625,0.0456
540,0.12,Cubic,20.01666667,0.046
541,0.12,Cubic,20.15,0.0464
542,0.12,Cubic,20.275,0.0468
543,0.12,Cubic,20.4,0.0472
544,0.12,Cubic,20.51666667,0.0476
545,0.12,Cubic,20.6375,0.048
546,0.12,Cubic,20.87916667,0.0484
547,0.12,Cubic,21.00416667,0.0488
548,0.12,Cubic,21.12916667,0.0492
549,0.12,Cubic,21.24166667,0.0496
550,0.12,Cubic,21.3625,0.05
551,0.12,Cubic,21.4875,0.0504
552,0.12,Cubic,21.60833333,0.0508
553,0.12,Cubic,21.85833333,0.0512
554,0.12,Cubic,21.97916667,0.0516
555,0.12,Cubic,22.1,0.052
556,0.12,Cubic,22.22916667,0.0524
557,0.12,Cubic,22.34166667,0.0528
558,0.12,Cubic,22.56666667,0.0532
559,0.12,Cubic,22.66666667,0.0536
560,0.12,Cubic,22.76666667,0.054
561,0.12,Cubic,22.95416667,0.0544
562,0.12,Cubic,23.11666667,0.0552
563,0.12,Cubic,23.1875,0.0556
564,0.12,Cubic,23.325,0.056
565,0.12,Cubic,23.39166667,0.0564
566,0.12,Cubic,23.45833333,0.0568
567,0.12,Cubic,23.52083333,0.0572
568,0.12,Cubic,23.64166667,0.0576
569,0.12,Cubic,23.68333333,0.058
570,0.12,Cubic,23.7375,0.0584
571,0.12,Cubic,23.77916667,0.0588
572,0.12,Cubic,23.82083333,0.0592
573,0.12,Cubic,23.89583333,0.0596
574,0.12,Cubic,23.92916667,0.06
575,0.12,Cubic,23.94583333,0.0604
576,0.12,Cubic,23.95833333,0.0608
577,0.12,Cubic,23.9875,0.0612
578,0.12,Cubic,23.98333333,0.0616
579,0.12,Cubic,23.97083333,0.062
580,0.12,Cubic,23.95416667,0.0624
581,0.12,Cubic,23.92916667,0.0628
582,0.12,Cubic,23.9,0.0632
583,0.12,Cubic,23.85,0.0636
584,0.12,Cubic,23.8125,0.064
585,0.12,Cubic,23.77083333,0.0644
586,0.12,Cubic,23.73333333,0.0648
587,0.12,Cubic,23.69583333,0.0652
588,0.12,Cubic,23.65416667,0.0656
589,0.12,Cubic,23.6125,0.066
590,0.12,Cubic,23.525,0.0664
591,0.12,Cubic,23.475,0.0668
592,0.12,Cubic,23.42083333,0.0672
593,0.12,Cubic,23.375,0.0676
594,0.12,Cubic,23.32083333,0.068
595,0.12,Cubic,23.27083333,0.0684
596,0.12,Cubic,23.2125,0.0688
597,0.12,Cubic,23.1125,0.0692
598,0.12,Cubic,23.0625,0.0696
599,0.12,Cubic,22.95833333,0.07
600,0.12,Cubic,22.90416667,0.0704
601,0.12,Cubic,22.85416667,0.0708
602,0.12,Cubic,22.75416667,0.0712
603,0.12,Cubic,22.70416667,0.0716
604,0.12,Cubic,22.60416667,0.0724
605,0.12,Cubic,22.52083333,0.0728
606,0.12,Cubic,22.475,0.0732
607,0.12,Cubic,22.39166667,0.0736
608,0.12,Cubic,22.35833333,0.074
609,0.12,Cubic,22.29583333,0.0744
610,0.12,Cubic,22.25833333,0.0748
611,0.12,Cubic,22.20833333,0.0756
612,0.12,Cubic,22.18333333,0.076
613,0.12,Cubic,22.16666667,0.0764
614,0.12,Cubic,22.15,0.0768
615,0.12,Cubic,22.14166667,0.0772
616,0.12,Cubic,22.12083333,0.0776
617,0.12,Cubic,22.10416667,0.078
618,0.12,Cubic,22.1,0.0784
619,0.12,Cubic,22.0625,0.0788
620,0.12,Cubic,22.05,0.0792
621,0.12,Cubic,22.02083333,0.0796
622,0.12,Cubic,22,0.08
623,0.12,Cubic,21.97916667,0.0804
624,0.12,Cubic,21.95416667,0.0808
625,0.12,Cubic,21.93333333,0.0812
626,0.12,Cubic,21.90416667,0.0816
627,0.12,Cubic,21.89166667,0.082
628,0.12,Cubic,21.87916667,0.0824
629,0.12,Cubic,21.8375,0.0828
630,0.12,Cubic,21.825,0.0832
631,0.12,Cubic,21.81666667,0.0836
632,0.12,Cubic,21.80416667,0.084
633,0.12,Cubic,21.79166667,0.0844
634,0.12,Cubic,21.725,0.0848
635,0.12,Cubic,21.7,0.0852
636,0.12,Cubic,21.67916667,0.0856
637,0.12,Cubic,21.65416667,0.086
638,0.12,Cubic,21.64583333,0.0864
639,0.12,Cubic,21.62916667,0.0868
640,0.12,Cubic,21.58333333,0.0872
641,0.12,Cubic,21.55833333,0.088
642,0.12,Cubic,21.525,0.0884
643,0.12,Cubic,21.475,0.0892
644,0.12,Cubic,21.45,0.0896
645,0.12,Cubic,21.42083333,0.09
646,0.12,Cubic,21.35416667,0.0904
647,0.12,Cubic,21.3125,0.0908
648,0.12,Cubic,21.27916667,0.0912
649,0.12,Cubic,21.2125,0.0916
650,0.12,Cubic,21.1875,0.092
651,0.12,Cubic,21.12916667,0.0924
652,0.12,Cubic,21.09166667,0.0928
653,0.12,Cubic,21.06666667,0.0932
654,0.12,Cubic,21.025,0.0936
655,0.12,Cubic,20.975,0.0944
656,0.12,Cubic,20.95,0.0948
657,0.12,Cubic,20.9,0.0952
